code,description
Z86.1,Tiền sử cá nhân có bệnh nhiễm khuẩn và ký sinh trùng
Z86.2,Tiền sử cá nhân có các bệnh về máu và cơ quan tạo máu và một số rối loạn về cơ chế miễn dịch
Z86.3,Tiền sử cá nhân có các bệnh về nội tiết dinh dưỡng và chuyển hóa
Z86.4,Tiền sử cá nhân có lạm dụng chất kích thần
Z86.5,Tiền sử cá nhân có các rối loạn tâm thần và hành vi khác
Z86.6,Tiền sử cá nhân có các bệnh về hệ thần kinh và các giác quan
Z86.7,Tiền sử cá nhân có các bệnh về hệ tuần hoàn
Z87,Tiền sử cá nhân có các bệnh và trạng thái bệnh khác
Z87.0,Tiền sử cá nhân có các bệnh thuộc hệ hô hấp
Z87.1,Tiền sử cá nhân có các bệnh thuộc hệ tiêu hóa
Z87.2,Tiền sử cá nhân có các bệnh về da và tổ chức dưới da
Z87.3,Tiền sử cá nhân có các bệnh thuộc hệ cơ xương và tổ chức liên kết
Z87.4,Tiền sử cá nhân có các bệnh thuộc hệ sinh dục tiết niệu
Z87.5,"Tiền sử cá nhân có các biến chứng của thai nghén, sinh đẻ và sau đẻ"
Z87.6,Tiền sử cá nhân có một số bệnh xuất hiện trong thời kỳ chu sinh
S59.7,Đa tổn thương cẳng tay
S59.8,Tổn thương khác được xác định ở cẳng tay
S59.9,Tổn thương chưa xác định ở cẳng tay
S60,Tổn thương nông ở cổ tay và bàn tay
S60.0,đụng giập các ngón tay không tổn thương móng
S60.1,đụng giập các ngón tay với tổn thương móng
S60.2,đụng giập các phần khác cổ tay và bàn tay
S60.7,Đa tổn thương nông ở cổ tay và bàn tay
S60.8,Tổn thương nông khác ở cổ tay và bàn tay
S60.9,Tổn thương nông ở cổ tay và bàn tay không đặc hiệu
S61,Vết thương hở ở cổ tay và bàn tay
S61.0,Vết thương hở các ngón tay không tổn thương móng
S61.1,Vết thương hở các ngón tay với tổn thương móng
S61.7,Đa vết thương hở ở cổ tay và bàn tay
S61.8,Vết thương hở các phần khác của cổ tay và bàn tay
S61.9,"Vết thương hở của cổ tay và bàn tay, phần không xác định"
S62,Gãy xương tầm cổ tay và bàn tay
S62.0,Gãy xương của xương thuyền bàn tay
S62.00,"Gãy xương của xương thuyền bàn tay, gãy kín"
S62.01,"Gãy xương của xương thuyền bàn tay, gãy hở"
S62.1,Gãy xương khớp cổ tay khác
S62.10,"Gãy xương khớp cổ tay khác, gãy kín"
S62.11,"Gãy xương khớp cổ tay khác, gãy hở"
S62.2,Gãy xương đốt đầu bàn tay
T69.8,Tác dụng xác định khác của hạ nhiệt
T69.9,"Tác dụng hạ nhiệt, chưa xác định"
T70,Tác động của áp lực không khí và áp lực nước
T70.0,Viêm tai do chấn thương khí áp
T70.1,Viêm xoang do chấn thương khí áp
T70.2,Tác dụng khác và chưa xác định của độ cao
T70.3,Bệnh do thùng lặn (bệnh lý do giảm áp)
T70.4,Tác động của áp lực dịch cao
T70.8,Tác động khác của áp lực khí và áp lực nước
T70.9,Tác động áp lực khí và áp lực nước chưa xác định
T71,Ngạt thở
T73,Tác động của các thiếu hụt khác
T73.0,Tác động của đói
T73.1,Tác động của khát
T73.2,Kiệt sức do phơi nhiễm
T73.3,Kiệt sức do cố gắng quá sức
T06.8,Tổn thương xác định khác tác động nhiều vùng cơ thể
T07,Đa tổn thương chưa xác định
Z40,Phẫu thuật dự phòng
Z40.0,Phẫu thuật dự phòng các nguy cơ liên quan đến khối u ác tính
Z40.8,Phẫu thuật dự phòng khác
Z40.9,"Phẫu thuật dự phòng, không đặc hiệu"
Z41,Các thủ thuật vì những mục đích khác không phải phục hồi sức khỏe
Z41.0,Cấy tóc
Z41.1,Phẫu thuật tạo hình do vẻ bên ngoài xấu
Z41.2,Cắt bao qui đầu theo tập tục và thường quy
Z41.3,Bấm lỗ tai
Z41.8,Các thủ thuật khác vì các mục đích khác không phải phục hồi sức khỏe
Z41.9,"Các thủ thuật vì những mục đích khác không phải phục hồi sức khỏe, không đặc hiệu"
Z42,Chăm sóc theo dõi liên quan phẫu thuật tạo hình
Z42.0,Chăm sóc theo dõi phẫu thuật tạo hình vùng đầu và cổ
Z42.1,Chăm sóc theo dõi phẫu thuật tạo hình vú
Z42.2,Chăm sóc theo dõi phẫu thuật tạo hình các phần khác của thân mình
Z42.3,Chăm sóc theo dõi phẫu thuật tạo hình chi trên
T35.5,Tổn thương do cóng lạnh chưa xác định tại chi dưới
T35.6,Tổn thương do cóng lạnh chưa xác định tác động nhiều vùng cơ thể
T35.7,Tổn thương do cóng lạnh chưa xác định tại vị trí chưa xác định
T36,Nhiễm độc do dùng kháng sinh toàn thân
T36.0,Ngộ độc kháng sinh Penicillin
T36.1,Ngộ độc kháng sinh Cefalosporin và kháng sinh beta-lactam khác
T36.2,Ngộ độc kháng sinh nhóm Chloramphenicol
T36.3,Ngộ độc kháng sinh Macrolid
T36.4,Ngộ độc kháng sinh Tetracyclin
T36.5,Ngộ độc kháng sinh Aminoglycosid
T36.6,Ngộ độc kháng sinh Rifamycin
T36.7,Ngộ độc kháng sinh chống nấm toàn thân
T36.8,Ngộ độc kháng sinh toàn thân khác
T36.9,Ngộ độc kháng sinh toàn thân chưa xác định
T37,Nhiễm độc do chất chống nhiễm trùng và chống ký sinh trùng khác dùng toàn thân
T37.0,Ngộ độc Sulfonamid
T37.1,Ngộ độc thuốc chống mycobacterial
T37.2,Ngộ độc thuốc chống sốt rét và thuốc tác động trên đơn bào máu khác
T37.3,Ngộ độc thuốc chống đơn bào khác
T37.4,Ngộ độc thuốc chống giun sán
T37.5,Ngộ độc thuốc chống virus
T37.8,Ngộ độc thuốc chống nhiễm trùng và chống ký sinh trùng khác dùng toàn thân đã xác định
L94.1,Xơ cứng bì dạng dải
L94.2,Lắng đọng Calci ở da
L94.3,Xơ cứng ngón
L94.4,Sẩn Gottron
L94.5,Bệnh teo da dạng mạng lưới giãn mạch
L94.6,Bệnh Ainhum
L94.8,Các bệnh tổ chức liên kết khu trú đặc hiệu khác
L94.9,"Các bệnh tổ chức liên kết khu trú, không điển hình"
L95,"Viêm mao mạch ở da, chưa phân loại ở phần khác"
L95.0,Viêm mạch mạng lưới
L95.1,Ban đỏ nổi cục rắn
L95.8,Viêm mao mạch ở da
L95.9,"Viêm mao mạch ở da, không điển hình"
L97,"Loét chi dưới, chưa phân loại ở phần khác"
Z42.4,Chăm sóc theo dõi phẫu thuật tạo hình chi dưới
Z42.8,Chăm sóc theo dõi phẫu thuật tạo hình các phần khác của cơ thể
Z42.9,Chăm sóc theo dõi phẫu thuật tạo hình không đặc hiệu
Z43,Chăm sóc các lỗ mở nhân tạo
Z43.0,Chăm sóc lỗ mở khí quản
Z43.1,Chăm sóc lỗ mở thông dạ dày
Z43.2,Chăm sóc lỗ mở thông hồi tràng
Z43.3,Chăm sóc lỗ mở thông đại tràng
Z43.4,Chăm sóc các lỗ mở nhân tạo khác của đường tiêu hóa
T13.5,"Tổn thương cơ bắp chưa xác định và gân tại chi dưới, tầm chưa xác định"
T13.6,"Chấn thương cắt cụt tại chi dưới, tầm chưa xác định"
T13.8,"Tổn thương khác đã xác định tại chi dưới, tầm chưa xác định"
T13.9,"Tổn thương chưa xác định tại chi dưới, tầm chưa xác định"
T14,Tổn thương chưa xác định vùng cơ thể
L94.0,Xơ cứng bì khu trú [dạng mảng]
T14.0,Tổn thương nông tại vùng cơ thể chưa xác định
T14.1,Vết thương hở chưa xác định vùng cơ thể
T14.2,Gãy xương chưa xác định vùng cơ thể
T14.20,"Gãy xương chưa xác định vùng cơ thể, gãy kín"
T14.21,"Gãy xương chưa xác định vùng cơ thể, gãy hở"
T14.3,"Trật khớp, bong gân và căng cơ vùng cơ thể không xác định"
T14.4,Tổn thương (nhiều) dây thần kinh vùng cơ thể chưa xác định
T14.5,Tổn thương mạch máu vùng cơ thể chưa xác định
T14.6,Tổn thương gân và cơ bắp cùng cơ thể chưa xác định
T14.7,Tổn thương dập nát và chấn thương cắt cụt vùng cơ thể chưa xác định
T14.8,Tổn thương khác của vùng cơ thể chưa xác định
T14.9,"Tổn thương, chưa xác định"
T37.9,Ngộ độc thuốc chống nhiễm trùng và ký sinh trùng khác dùng toàn thân chưa xác định
T38,"Nhiễm độc do nội tiết và chất tổng hợp thay thế và chất đối kháng, không xếp loại ở đâu"
T38.0,Ngộ độc Glucocorticoid và chất tổng hợp tương tự
T38.1,Ngộ độc Hormon tuyến giáp và chất thay thế
T38.2,Ngộ độc Thuốc chống tuyến giáp
T38.3,Ngộ độc Insulin và thuốc hạ đường huyết uống (chống đái tháo đường)
T38.4,Ngộ độc Thuốc tránh thai uống
T38.5,Ngộ độc Estrogen và progestogen khác
T38.6,"Ngộ độc thuốc Kháng Gonadotropin, kháng tiestrogen, kháng androgen, không xếp loại ở phần nào khác"
T38.7,Ngộ độc Androgen và sản phẩm đồng hóa tương tự
T38.8,Ngộ độc Hormon khác và hormon chưa xác định và chất tổng hợp thay thế
T38.9,Ngộ độc Hormon đối kháng và chưa xác định
W81,"Bị nhốt, mắc bẫy trong môi trường oxy thấp"
W83,"Các đe dọa thở khác, biết đặc điểm"
T54.3,Nhiễm độc Kiềm ăn mòn và chất giống kiềm
T54.9,"Nhiễm độc Chất ăn mòn, chưa xác định"
T55,Tác dụng độc của xà phòng và chất giặt tẩy
T56,Ngộ độc kim loại
T56.0,Nhiễm độc Chì và hợp chất của chì
T56.1,Nhiễm độc Thủy ngân và hợp chất của thủy ngân
T56.2,Nhiễm độc Crôm và hợp chất của Crom
T56.3,Nhiễm độc Dadmi và hợp chất của Dadmi
T56.4,Nhiễm độc Đồng và hợp chất của Đồng
T56.5,Nhiễm độc Kẽm và hợp chất của Kẽm
T56.6,Nhiễm độc Thiếc và hợp chất của Thiếc
T56.7,Nhiễm độc Beryllium và hợp chất của Beryllium
T56.8,Nhiễm độc Kim loại khác
T56.9,Nhiễm độc Kim loại chưa xác định
T57,Ngộ độc chất vô cơ
T57.0,Nhiễm độc Arsen và hợp chất của Arsen
T57.1,Nhiễm độc Phospho và hợp chất của Phospho
T57.2,Nhiễm độc Manganes và hợp chất của Manganes
T57.3,Nhiễm độc Toxic effect: Hydrogen cyanide
T57.8,Nhiễm độc Chất vô cơ đã xác định khác
T57.9,"Nhiễm độc Chất vô cơ, chưa xác định"
T58,Ngộ độc carbon monoxide
T59,"Ngộ độc khí khác, khói và hơi"
T59.0,Nhiễm độc Nitrogen oxid
Y35.4,Can thiệp hợp pháp liên quan vật sắc nhọn
Y35.5,Hành hình hợp pháp
Y35.6,Can thiệp hợp pháp liên quan các biện pháp khác có được biết rõ
Y35.7,"Can thiệp hợp pháp, không biết rõ biện pháp"
Y36,Hành động trong chiến tranh
Y36.0,Hoạt động chiến tranh do hỏa khí của lính thủy gây ra
Y36.1,Hoạt động chiến tranh liên quan đến phá hủy phương tiện bay
Y36.2,Hoạt động chiến tranh liên quan đến chất nổ và bom khác
Y36.3,"Hành động chiến tranh liên quan cháy, cháy to và chất nóng"
Y36.4,Hành động chiến tranh liên quan đạn súng tay và các loại thông thường khác trong chiến tranh
Y36.5,Hoạt động chiến tranh liên quan vũ khí hạt nhân
Y36.6,Hoạt động chiến tranh liên quan vũ khí sinh học
Y36.7,Hoạt động chiến tranh liên quan đến vũ khí hóa học và các vũ khí khác không theo qui ước chiến tranh
Y36.8,Hoạt động chiến tranh xẩy ra sau khi đã ngừng hận thù
J63.8,Bệnh phổi nghề nghiệp do bụi phổi vô cơ xác định khác
J64,Bệnh bụi phổi không phân loại
J65,Bệnh bụi phổi kết hợp với lao
J66,Bệnh đường dẫn khí do bụi hữu cơ đặc biệt khác
J66.0,Bụi phổi bông
J66.1,Bệnh Flax - Dresser
J66.2,Bệnh đường hô hấp do ma túy
J66.8,Bệnh đường dẫn bụi khí do bụi hữu cơ đặc biệt khác
J67,Viêm phổi tăng cảm do bụi hữu cơ
J67.0,Bệnh phổi của người nông dân
J67.1,Bệnh phổi do bã mía
J67.2,Bệnh phổi ở người nuôi chim
J67.3,Bệnh phổi do xơ cây bần
J67.4,Bệnh phổi của công nhân tiếp xúc với mạch nha bị mốc
J67.5,Bệnh phổi của công nhân trồng nấm
L91.9,Các bệnh quá sản của da không điển hình
L92,U hạt của da và tổ chức dưới da
L92.0,U hạt hình nhẫn
L92.1,"Hoại tử mỡ, chưa phân loại ở phần khác"
L92.2,U hạt ở mặt [u hạt nhiễm bạch ái toan của da]
L92.3,U hạt ở da và tổ chức dưới da do dị vật
L92.8,Các bệnh u hạt ở da và tổ chức dưới da khác
L92.9,"Các bệnh u hạt ở da và tổ chức dưới da, không điển hình"
L93,Lupus ban đỏ
L93.0,Lupus ban đỏ dạng đĩa
L93.1,Lupus ban đỏ bán cấp
L93.2,Lupus ban đỏ khu trú khác
L94,Các bệnh tổ chức liên kết khu trú khác
W44,Dị vật vào trong hay đi qua mắt hay lỗ tự nhiên
W45,Dị vật vào qua da
W46,Tiếp xúc với kim tiêm dưới da
W49,Bị ảnh hưởng của lực cơ học bất động khác không rõ đặc điểm
W50,"Bị người khác đập đánh, đá, vặn, cắn, cào"
W51,Bị người khác đánh lại hay húc vào
W52,"Bị đám đông hay đám người chạy toán loạn ép, đẩy hay dẫm lên"
W53,Chuột cắn
W54,"Bị chó cắn, đả thương"
W55,"Cắn, đả thương do loài động vật có vú khác"
W56,Tiếp xúc với động vật có vú ở dưới nước
W57,Bị côn trùng không có nọc và các loài tiết túc không có nọc độc cắn hay đốt
W58,"Bị cá sấu, cá sấu Mỹ cắn hay đả thương"
W59,Bị loài bò sát khác cắn hay kẹp
W60,"Tiếp xúc với cây gai, gai, lá nhọn"
W64,Bị ảnh hưởng của lực cơ học không xác định do chuyển động
W65,"Ngã xuống nước, ngập nước khi ở trong bồn tắm"
W66,"Ngã xuống nước, ngập nước sau khi ngã vào bồn tắm"
W67,"Ngã xuống nước, ngập nước khi ở bể bơi"
W68,NXN hay NN sau khi ngã vào bể bơi
W69,"Ngã xuống nước, ngập nước khi ở trong nước tự nhiên"
W70,"Ngã xuống nước, ngập nước sau khi ngã xuống nước tự nhiên"
W73,"Ngã xuống nước, ngập nước khác có rõ đặc điểm"
W74,"Ngã xuống nước, ngập nước không rõ đặc điểm"
W75,"Tai nạn ngạt thở, nghẹt thở trên giường"
W76,Tai nạn treo và thắt nghẹt khác
W77,"Đe dọa thở do sụt đất, đất rơi và các chất khác"
W78,Hít phải chất chứa trong dạ dày
W79,Hít và nuốt thức ăn gây tắc đường hô hấp
W80,Hít và nuốt vật khác gây tắc đường thở
Z58.6,Cung cấp nước uống không đầy đủ
Z58.7,Tiếp cận tình thế với khói thuốc
Z58.8,Các vấn đề khác liên quan đến môi trường vật lý
Z58.9,"Các vấn đề liên quan đến môi trường vật lý, không đặc hiệu"
Z59,Những vấn đề liên quan đến nhà ở và hoàn cảnh kinh tế
Z59.0,Tình trạng vô gia cư
Z87.7,"Tiền sử cá nhân có các dị tật bẩm sinh, dị tật và bất thường nhiễm sắc thể"
Z87.8,Tiền sử cá nhân có các trạng thái bệnh đặc hiệu khác
Z88,"Tiền sử cá nhân có có các dị ứng với ma túy, thuốc và các chất sinh vật khác"
Z88.1,Tiền sử cá nhân dị ứng với các kháng sinh khác
Z88.2,Tiền sử cá nhân dị ứng với sulfonamides
Z88.3,Tiền sử cá nhân dị ứng với các tác nhân chống nhiễm khuẩn khác
Z88.4,Tiền sử cá nhân dị ứng với thuốc gây mê
Z88.5,Tiền sử cá nhân dị ứng với các chất gây ngủ
Z88.6,Tiền sử cá nhân dị ứng với các tác nhân giảm đau
Z88.7,Tiền sử cá nhân dị ứng với huyết thanh và vaccin
Z88.8,"Tiền sử cá nhân dị ứng với các chất ma túy, thuốc và các chất sinh học khác"
S40.7,Vết thương nông phức tạp của vai và cánh tay
S40.8,Vết thương nông khác của vai và cánh tay
